"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"star";2;"LOGO";;;
2;"TP405";"Test_Point_SMD";1;"PB7";;;
3;"TP401";"Test_Point_SMD";1;"PB6";;;
4;"J301";"RHDR8W80P0X254_1X8_2082X254X850P";1;"MOTOR 1 DRIVER LEFT";;;
5;"C201,C202,C203,C204";"T491C105K050AT";4;"C_10uF+";;;
6;"C301,C302";"C_100uF+";2;"C_100uF+";;;
7;"J401,J402";"RHDR20W80P0X254_1X20_5130X254X880P";2;"Conn_01x20";;;
8;"J403";"SULLINS_PPTC041LFBN-RC";1;"I2C";;;
9;"J404";"SULLINS_PPTC041LFBN-RC";1;"USART 1";;;
10;"J405";"SULLINS_PPTC041LFBN-RC";1;"USART 2";;;
11;"J406";"SULLINS_PPTC041LFBN-RC";1;"SERVO";;;
12;"J407";"SULLINS_PPTC041LFBN-RC";1;"MOTOR 1";;;
13;"J408";"CUI_TB006-508-04BE";1;"POWER";;;
14;"J409";"CUI_TB006-508-04BE";1;"SKITTLE PICKUP";;;
15;"J410";"SULLINS_PPTC041LFBN-RC";1;"MOTOR 2";;;
16;"J412";"RHDR8W80P0X254_1X8_2082X254X850P";1;"LIMIT SWITCHES";;;
17;"Q501";"SOT-23F";1;"SSM3K333R";;;
18;"R203,R204";"R_0805_OEM";2;"R_200";;;
19;"R403,R404,R405,R406,R501";"R_0805_OEM";5;"R_10K";;;
20;"TP402";"Test_Point_SMD";1;"PB14";;;
21;"TP403";"Test_Point_SMD";1;"PA0";;;
22;"TP404";"Test_Point_SMD";1;"PA10";;;
23;"TP406";"Test_Point_SMD";1;"PB15";;;
24;"TP407";"Test_Point_SMD";1;"PA9";;;
25;"TP408";"Test_Point_SMD";1;"PA4";;;
26;"TP409";"Test_Point_SMD";1;"PA2";;;
27;"TP410";"Test_Point_SMD";1;"PA5";;;
28;"TP411";"Test_Point_SMD";1;"PA3";;;
29;"U201";"SOT230P700X180-4N";1;"LM1117-5.0";;;
30;"U202";"SOT230P700X180-4N";1;"LM1117-3.3";;;
31;"J302";"RHDR8W80P0X254_1X8_2082X254X850P";1;"MOTOR 2 DRIVER LEFT";;;
32;"J303";"RHDR8W80P0X254_1X8_2082X254X850P";1;"MOTOR 1 DRIVER RIGHT";;;
33;"J304";"RHDR8W80P0X254_1X8_2082X254X850P";1;"MOTOR 2 DRIVER RIGHT";;;
34;"R201";"R_0805_OEM";1;"R_1K";;;
35;"F401";"1206L075SLYR";1;"F_1.1A_12V";;;
36;"D501";"DIOM5226X240N";1;"D_200_1A";;;
37;"TP201";"Test_Point_SMD";1;"12V_LED";;;
38;"TP202";"Test_Point_SMD";1;"12V_LED_GND";;;
39;"TP203";"Test_Point_SMD";1;"3V3_LED";;;
40;"TP204";"Test_Point_SMD";1;"3V3_LED_GND";;;
41;"TP205";"Test_Point_SMD";1;"5V_LED";;;
42;"TP206";"Test_Point_SMD";1;"5V_LED_GND";;;
